size,algo,modelingtime,encdatabasetime,encqueriestime,buildtime,querytime,params,recall
300K,lmi,0.0,0.0,0.0,36.709550857543945,44.35057473182678,t1-300K-epochs=15-lr=0.00098-sample=100000-alpha=1.0-chunk_size=100000-nprobe=26,0.95613
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2551.4849314689636,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=65,0.8025366666666667
100M,lmi,407.7457423210144,347.5337519645691,0.10684657096862793,6326.438538789749,2150.343601465225,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=20,0.79416
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2572.0430212020874,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=90,0.8030233333333333
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2552.3345363140106,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=80,0.8029133333333334
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2688.061688184738,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=50,0.80142
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2709.369220972061,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=40,0.80026
100M,lmi,407.7457423210144,347.5337519645691,0.10684657096862793,6326.438538789749,2477.3259608745575,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=25,0.79714
100M,lmi,431.95802760124207,381.1257960796356,0.09251570701599121,6885.66424536705,2385.3028240203857,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=10,0.7783166666666667
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2549.281245946884,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=70,0.80275
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2718.654396057129,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=35,0.79962
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2591.6479234695435,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=100,0.8030633333333334
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2713.3576045036316,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=55,0.8018966666666667
100M,lmi,407.7457423210144,347.5337519645691,0.10684657096862793,6326.438538789749,2094.05846619606,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=15,0.7889966666666667
100M,lmi,431.95802760124207,381.1257960796356,0.09251570701599121,6885.66424536705,2329.9740319252014,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=1,0.5250633333333333
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2703.4818906784058,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=60,0.8022766666666666
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2704.21120595932,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=30,0.7986533333333333
100M,lmi,431.95802760124207,381.1257960796356,0.09251570701599121,6885.66424536705,2315.322738647461,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=5,0.7447566666666666
100M,lmi,408.4073884487152,344.68189907073975,0.0669095516204834,6744.211916208267,2713.147478580475,t2-100M-epochs=15-lr=0.00098-sample=1000000-alpha=1.0-chunk_size=100000-ncandidates=1000-reduced_dim=135-nprobe=45,0.8008466666666667
